127.0.0.1 - - [30/Dec/2020:20:16:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 92827
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:26 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/admin/list-tossTypes HTTP/1.1" 200 13244
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:43 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 92827
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:49 +0530] "GET /Nala/admin/addTossType HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:18:49 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:38 +0530] "POST /Nala/admin/saveTossType HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:38 +0530] "GET /Nala/admin/list-tossTypes HTTP/1.1" 200 14554
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 92827
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:39 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:44 +0530] "GET /Nala/admin/viewTossTypeInfo?id=5fec93828d83a92a4c56e5dd HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:44 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:48 +0530] "GET /Nala/admin/openEditTossType?id=5fec93828d83a92a4c56e5dd HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:48 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:51 +0530] "GET /Nala/admin/addTossType HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:19:51 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "POST /Nala/admin/saveTossType HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/admin/list-tossTypes HTTP/1.1" 200 15866
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:13 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:14 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 92827
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:14 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [30/Dec/2020:20:20:14 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
