127.0.0.1 - - [11/Jan/2021:13:00:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:00 +0530] "GET /Nala/ HTTP/1.1" 200 173838
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:00 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:03 +0530] "GET /Nala/login HTTP/1.1" 200 174973
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:03 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:15 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:15 +0530] "GET /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:21 +0530] "GET /Nala/admin/dashboard HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:21 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:21 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:21 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:22 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/admin/recipeCooking HTTP/1.1" 200 9949
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:30 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:31 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:31 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:01:31 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:36 +0530] "GET /Nala/admin/recipeCooking HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:37 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:38 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:38 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:38 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:38 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:18:38 +0530] "GET /Nala/assets/img/fav.png HTTP/1.1" 200 3451
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/admin/recipeCooking HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:43 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:44 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:44 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:44 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [11/Jan/2021:13:37:44 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
