0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:52 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/admin/list-stirs HTTP/1.1" 200 14943
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 116240
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:19:58 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:00 +0530] "GET /Nala/admin/startCooking HTTP/1.1" 200 9105
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:03 +0530] "GET /Nala/admin/list-tossTypes HTTP/1.1" 200 16165
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:03 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:03 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:03 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:03 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 116240
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:20:04 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
