127.0.0.1 - - [10/Jan/2021:13:06:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:40 +0530] "GET /Nala/ HTTP/1.1" 200 173838
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:42 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:45 +0530] "GET /Nala/login HTTP/1.1" 200 174973
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:46 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:59 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:06:59 +0530] "GET /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:04 +0530] "GET /Nala/admin/dashboard HTTP/1.1" 200 18552
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:04 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:04 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:04 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 108795
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:05 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [10/Jan/2021:13:07:06 +0530] "GET /Nala/assets/img/fav.png HTTP/1.1" 200 3451
