127.0.0.1 - - [13/Jan/2021:14:13:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:13:42 +0530] "GET /Nala/ HTTP/1.1" 200 173838
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:13:47 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:13:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:13:55 +0530] "GET /Nala/login HTTP/1.1" 200 174973
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:13:56 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "POST /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "GET /Nala/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "GET /Nala/admin/dashboard HTTP/1.1" 200 18442
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:08 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:09 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:09 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:10 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/admin/recipeCooking HTTP/1.1" 200 10472
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/css/bootstrap-datepicker.css HTTP/1.1" 200 8198
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/js/jquery.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/css/style.css HTTP/1.1" 200 171881
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/js/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 81042
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/js/custom.min.js HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/img/loading-icon.gif HTTP/1.1" 200 8238
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:13 +0530] "GET /Nala/assets/js/moment.min.js HTTP/1.1" 200 51654
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:14 +0530] "GET /Nala/assets/js/admin.js HTTP/1.1" 200 112152
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:14 +0530] "GET /Nala/assets/img/logo.png HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [13/Jan/2021:14:14:14 +0530] "GET /Nala/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 38264
