127.0.0.1 - - [03/Dec/2020:09:52:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:19 +0530] "GET /capExam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:21 +0530] "GET /capExam/home HTTP/1.1" 200 28622
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:21 +0530] "GET /capExam/static/css/font-awesome.css HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:21 +0530] "GET /capExam/static/css/style.css HTTP/1.1" 200 99872
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:21 +0530] "GET /capExam/static/css/bootstrap.css HTTP/1.1" 200 148264
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:21 +0530] "GET /capExam/static/css/custom-styles.css HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/js/user.js HTTP/1.1" 200 16578
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/js/custom.js HTTP/1.1" 200 65741
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/cap-tutoring-img.jpg HTTP/1.1" 200 97823
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/js/bootstrap.js HTTP/1.1" 200 69863
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/freshman-package-icon.png HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/cap-counseling-img.jpg HTTP/1.1" 200 92848
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/sophomore-package-icon.png HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/junior-package-icon.png HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/cap-touch-img.jpg HTTP/1.1" 200 75941
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/about-cap.jpg HTTP/1.1" 200 72316
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/cap-video.mp4 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/senior-package-icon.png HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/preloader.gif HTTP/1.1" 200 66423
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/test-winner-3.jpg HTTP/1.1" 200 105370
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:22 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:23 +0530] "GET /capExam/static/images/achievement-banner.jpg HTTP/1.1" 200 211572
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:23 +0530] "GET /capExam/static/images/video-bg.jpg HTTP/1.1" 200 105523
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:23 +0530] "GET /capExam/static/images/arrow.png HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:25 +0530] "GET /capExam/static/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:25 +0530] "GET /capExam/static/images/cap-video.ogg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:28 +0530] "GET /capExam/static/images/banner.jpg HTTP/1.1" 200 150119
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:28 +0530] "GET /capExam/static/images/banner2.jpg HTTP/1.1" 200 258965
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:28 +0530] "GET /capExam/static/images/banner1.jpg HTTP/1.1" 200 134587
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:35 +0530] "GET /capExam/signin HTTP/1.1" 200 13263
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:38 +0530] "GET /capExam/static/css/bootstrap.css HTTP/1.1" 200 148264
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/css/custom-styles.css HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/css/font-awesome.css HTTP/1.1" 200 39533
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/css/style.css HTTP/1.1" 200 99872
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/js/bootstrap.js HTTP/1.1" 200 69863
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/js/user.js HTTP/1.1" 200 16578
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/js/custom.js HTTP/1.1" 200 65741
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:39 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:41 +0530] "GET /capExam/static/images/arrow.png HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:41 +0530] "GET /capExam/static/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:52:41 +0530] "GET /capExam/static/images/inner-banner-1.jpg HTTP/1.1" 200 137178
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:04 +0530] "POST /capExam/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:05 +0530] "GET /capExam/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/user/exam?loggedInUserId=75&loggedInSSOId=singhhhshikharmuni%40gmail.com HTTP/1.1" 200 7895
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/bootstrap.min.js HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/main.js HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/bootstrap-multiselect.js HTTP/1.1" 200 66416
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/images/user-icon.jpg HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/js/jquery.datetimepicker.full.js HTTP/1.1" 200 117244
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/images/favicon.png HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:07 +0530] "GET /capExam/static/fonts/fontawesome-webfont_cdea915e.woff HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/user/user-profile HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/js/bootstrap.min.js HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/js/main.js HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:25 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/js/bootstrap-multiselect.js HTTP/1.1" 200 66416
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/images/favicon.png HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/js/jquery.datetimepicker.full.js HTTP/1.1" 200 117244
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/images/user-icon.jpg HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:26 +0530] "GET /capExam/static/fonts/fontawesome-webfont_cdea915e.woff HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/user/edit-user-profile HTTP/1.1" 200 9346
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/bootstrap.min.js HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/main.js HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/images/favicon.png HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/images/user-icon.jpg HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/bootstrap-multiselect.js HTTP/1.1" 200 66416
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/js/jquery.datetimepicker.full.js HTTP/1.1" 200 117244
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:36 +0530] "GET /capExam/static/fonts/fontawesome-webfont_cdea915e.woff HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:45 +0530] "POST /capExam/user/edit-user-profile HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/user/edit-user-profile HTTP/1.1" 200 9346
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/js/bootstrap.min.js HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/js/main.js HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:51 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/js/jquery.datetimepicker.full.js HTTP/1.1" 200 117244
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/images/cap-logo.png HTTP/1.1" 200 22126
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/images/user-icon.jpg HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/images/loading-icon.gif HTTP/1.1" 200 62656
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/js/bootstrap-multiselect.js HTTP/1.1" 200 66416
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/images/favicon.png HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:53:52 +0530] "GET /capExam/static/fonts/fontawesome-webfont_cdea915e.woff HTTP/1.1" 200 83760
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:05 +0530] "GET /capExam/admin/profile HTTP/1.1" 404 678
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:07 +0530] "GET /capExam/user/edit-user-profile HTTP/1.1" 200 9346
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:08 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:11 +0530] "GET /capExam/user/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:14 +0530] "GET /capExam HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:14 +0530] "GET /capExam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:14 +0530] "GET /capExam/signin?loggedInSSOId=singhhhshikharmuni%40gmail.com&loggedInUserId=75 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:14 +0530] "GET /capExam/user/exam?loggedInSSOId=singhhhshikharmuni%40gmail.com&loggedInUserId=75 HTTP/1.1" 200 7895
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:14 +0530] "GET /capExam/static/css/font-awesome.min.css HTTP/1.1" 200 20748
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/style-responsive.css HTTP/1.1" 200 5662
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/bootstrap.min.css HTTP/1.1" 200 121510
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/app.css HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/main-style.css HTTP/1.1" 200 221849
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/bootstrap-multiselect.css HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7200
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/css/jquery.datetimepicker.css HTTP/1.1" 200 18988
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/js/bootstrap.min.js HTTP/1.1" 200 32726
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/js/main.js HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [03/Dec/2020:09:54:15 +0530] "GET /capExam/static/js/admin.js HTTP/1.1" 200 49458
